ranking,team_name,player1,player2,player3,player4,player5
#1,Astralis,Xyp9x,dupreeh,gla1ve,device,Magisk
#2,Liquid,nitr0,NAF,EliGE,Stewie2K,Twistzz
#3,Natus Vincere,Edward,Zeus,flamie,s1mple,electronic
#4,FaZe,AdreN,olofmeister,GuardiaN,NiKo,rain
#5,ENCE,allu,Aerial,xseveN,Aleksib,sergej
#6,fnatic,Xizt,JW,twist,KRIMZ,Brollan
#7,MIBR,FalleN,fer,coldzera,TACO,felps
#8,NRG,daps,tarik,Brehze,Ethan,CeRq
#9,NiP,f0rest,GeT_RiGhT,dennis,Lekr0,REZ
#10,Renegades,jks,AZR,jkaem,Gratisfaction,Liazz
#11,Vitality,NBK-,RpK,apEX,ALEX,ZywOo
#12,mousesports,karrigan,chrisJ,woxic,frozen,ropz
#13,G2,JaCkz,shox,kennyS,AmaNEk,Lucky
#14,AVANGAR,fitch,SANJI,buster,qikert,Jame
#15,North,aizy,Kjaerbye,JUGi,gade,valde
#16,Windigo,bubble,v1c7oR,blocker,SHiPZ,poizon
#17,FURIA,arT,yuurih,VINI,KSCERATO,ableJ
#18,BIG,gob b,tabseN,tiziaN,nex,XANTARES
#19,Grayhound,Sico,dexter,erkaSt,malta,DickStacy
#20,Valiance,huNter,LETN1,nexa,ottoNd,EspiranTo
#21,Heroic,friberg,es3tag,mertz,stavn,blameF
#22,OpTic,Snappi,MSL,k0nfig,niko,refrezh
#23,forZe,facecrack,almazer,FL1T,xsepower,Jerry
#24,ex-devils.one,TaZ,MINISE,rallen,mouz,dycha
#25,Spirit,chopper,S0tF1k,COLDYY1,somedieyoung,iDISBALANCE
#26,MVP PK,zeff,XigN,HSK,xeta,stax
#27,Sprout,syrsoN,Spiidi,denis,mirbit,faveN
#28,compLexity,ShahZaM,dephh,stanislaw,Rickeh,SicK
#29,AGO,SZPERO,Furlan,GruBy,phr,kaper
#30,Tricked,HUNDEN,Bubzkji,b0RUP,acoR,sjuush
